Skip,API Field Name,Group,Common Name,Type,Query,Description
true,cited_patent_category,cited_patents,Patent Category,string,Y,Category of cited patent
true,cited_patent_date,cited_patents,Patent Date,date,Y,Grant data of cited patent
true,cited_patent_kind,cited_patents,Patent Kind,string,Y,Patent kind of cited patent  (see patent_kind for details)
true,citedby_patent_number,citedby_patents,Patent Number,string,Y,Patent number of citing patent
true,citedby_patent_title,citedby_patents,Patent Title,string,Y,Title of citing patent
true,citedby_patent_kind,citedby_patents,Patent Kind,string,Y,Patent kind of citing patent (see patent_kind for details)
true,citedby_patent_category,citedby_patents,Patent Category,string,Y,Category of citing patent
true,citedby_patent_date,citedby_patents,Patent Date,date,Y,Grant date of patent citing the selected patent
true,cpc_subsection_id,cpcs,Subsection ID,string,Y,CPC subsection ID
true,cpc_subgroup_title,cpcs,Subgroup Title,string,Y,Description of CPC subgroup
true,cpc_subgroup_id,cpcs,Subgroup ID,string,Y,CPC subgroup ID
true,cpc_subsection_title,cpcs,Subsection Title,string,Y,Description of CPC subsection
true,cpc_total_num_patents,cpcs,Total Number of Patents,integer,Y,Total number of patents within a CPC subsection
true,cpc_total_num_inventors,cpcs,Total Number of Inventors,integer,Y,Total number of unique inventors on patents within a CPC subsection
true,cpc_total_num_assignees,cpcs,Total Number of Assignees,integer,Y,Total number of unique assignees on patents within a CPC subsection
true,cpc_group_id,cpcs,Group ID,string,Y,CPC group ID
true,cpc_first_seen_date,cpcs,First Seen Date,date,Y,Grant date of the earliest patent in the database within a CPC subsection.
true,cpc_category,cpcs,Category,string,Y,Top Level Cooperative Patent Classification (CPC) category (http://www.cooperativepatentclassification.org/index.html)
true,cpc_group_title,cpcs,Group Title,string,Y,Description of CPC group
true,cpc_sequence,cpcs,Sequence,integer,Y,Order of the CPC classification in the list of classifications for the selected patent
true,cpc_section_id,cpcs,Section ID,string,Y,"CPC section ID (A = Human Necessitites, B = Performing Operations; Transporint, C = Chemistry; Metallurgy, D = Textiles; paper, E = Fixed Constructing, F = Mechanical Engineering; Lighting; Heating; Weapons; Blasting Engines; Pumps, G = Physics, H = Electricity, Y = General Tagging of new technological developments)"
true,cpc_last_seen_date,cpcs,Last Seen Date,date,Y,Grant date of the most recent patent in the database within a CPC subsection
true,examiner_last_name,examiners,Last name,string,Y,Last name of examiner
true,examiner_role,examiners,Role,string,Y,Specifies the role of the examiner on the patent (either primary or assistant examiner)
true,examiner_group,examiners,Group,string,Y,"Art unit, tech center, industry sector, or other grouping of the USPTO examiners"
true,examiner_first_name,examiners,First name,string,Y,First name of examiner
true,examiner_id,examiners,ID,string,Y,Unique database examiner ID (not currently disambiguated)
true,forprior_docnumber,foreign_priority,Document number,string,Y,Foreign patent application number
true,forprior_kind,foreign_priority,Kind,string,Y,"Kind of foreign priority document (international, national, regional)"
true,forprior_sequence,foreign_priority,Sequence,int,Y,Order in which foreign priority documents appear in patent file
true,forprior_country,foreign_priority,Country,string,Y,Country in which patent was originally filed
true,forprior_date,foreign_priority,Date,date,Y,Date at which patent was originally filed
true,govint_org_level_three,gov_interests,Third Level Government Organization,string,Y,"The third-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institute for Occupational Safety and Health is third-level in relation to the Centers for Disease Control and Prevention that report to the U.S. Department of Health and Human Services."
true,govint_org_level_two,gov_interests,Second Level Government Organization,string,Y,"The second-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health is second-level in relation to the National Heart, Lung, and Blood Institute."
true,govint_raw_statement,gov_interests,Government Interest Statement,full text,Y,The full government interest statement as reported on a given patent (if available).
true,govint_org_name,gov_interests,Organization Name,string,Y,Name of the U.S. government organization reported in the government interest statement on patents (if available).
true,govint_contract_award_number,gov_interests,Contract/Award Number,string,Y,Contract or award number as reported in the government interest statement on patents (if available)
true,govint_org_id,gov_interests,Organization ID,integer,Y,Organization ID of the U.S. government agency reported in the government interest statement on patents (if available)
true,govint_org_level_one,gov_interests,Top Level Government Organization,string,Y,"The top-level U.S. government organization name related to the organization reported in the government interest statement on patents (if available). For example, the National Institutes of Health report to the U.S. Department of Health and Human Services."
true,inventor_lastknown_state,inventors,Last Known State,string,Y,"Inventor's state as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_latitude,inventors,Latitude,float,N,Latitude of inventor's as listed on the selected patent patent
true,inventor_lastknown_longitude,inventors,Last Known Longitude,float,N,"Longitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_lastknown_latitude,inventors,Last Known Latitude,float,N,"Latitude of inventor's city as of  their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_lastknown_location_id,inventors,Last Known Location ID,string,Y,"Unique database ID for the inventor's location as of their most recent patent grant date (equivalently, as of inventor_last_seen_date)"
true,inventor_location_id,inventors,Location ID,string,Y,Unique database ID for  inventor's location as listed on the selected patent
true,inventor_state_fips,inventors,State FIPS code,string,Y,FIPS code of the inventor's state associated with their location_id on a given patent (only US)
true,inventor_total_num_patents,inventors,Total Number of Patents,integer,Y,Total number of patents in the database for a given inventor (as indicated by unique inventor_id)
true,inventor_state,inventors,State,string,Y,Inventor's state as listed on the selected patent
